Epoch 1 D_loss -0.5153024673461915, G_loss -0.20096489787101746
Epoch 2 D_loss -0.39041945338249207, G_loss -0.3733255863189697
Epoch 3 D_loss -0.33053032755851747, G_loss -0.39463168382644653
Epoch 4 D_loss -0.32395567297935485, G_loss -0.4154776632785797
Epoch 5 D_loss -0.2964695930480957, G_loss -0.42587804794311523
Epoch 6 D_loss -0.30750090479850767, G_loss -0.40618377923965454
Epoch 7 D_loss -0.2616524875164032, G_loss -0.42823320627212524
Epoch 8 D_loss -0.2526354491710663, G_loss -0.4244830310344696
Epoch 9 D_loss -0.21815506219863892, G_loss -0.4352265000343323
Epoch 10 D_loss -0.22958454489707947, G_loss -0.4317075312137604
Epoch 11 D_loss -0.22789785861968995, G_loss -0.4377342462539673
Epoch 12 D_loss -0.23575199246406556, G_loss -0.4465975761413574
Epoch 13 D_loss -0.1946731150150299, G_loss -0.4378848671913147
Epoch 14 D_loss -0.19665059447288513, G_loss -0.43841058015823364
Epoch 15 D_loss -0.1918628454208374, G_loss -0.4400605261325836
Epoch 16 D_loss -0.22727310061454772, G_loss -0.40572407841682434
Epoch 17 D_loss -0.1876810073852539, G_loss -0.44290873408317566
Epoch 18 D_loss -0.20375970602035523, G_loss -0.43545982241630554
Epoch 19 D_loss -0.16453763842582703, G_loss -0.45269784331321716
Epoch 20 D_loss -0.19353827834129333, G_loss -0.4170757532119751
Epoch 21 D_loss -0.19130566716194153, G_loss -0.4767264127731323
Epoch 22 D_loss -0.1942994177341461, G_loss -0.49877193570137024
Epoch 23 D_loss -0.18039999008178711, G_loss -0.4915250837802887
Epoch 24 D_loss -0.16208194494247435, G_loss -0.4856196343898773
Epoch 25 D_loss -0.16821319460868836, G_loss -0.4900447130203247
Epoch 26 D_loss -0.17615804672241211, G_loss -0.48238810896873474
Epoch 27 D_loss -0.14549415111541747, G_loss -0.5033842921257019
Epoch 28 D_loss -0.1397510826587677, G_loss -0.4919413626194
Epoch 29 D_loss -0.1544724941253662, G_loss -0.4945211112499237
Epoch 30 D_loss -0.12757939100265503, G_loss -0.49260804057121277
Epoch 31 D_loss -0.12254278659820557, G_loss -0.49855872988700867
Epoch 32 D_loss -0.1304007053375244, G_loss -0.4991608262062073
Epoch 33 D_loss -0.12892910838127136, G_loss -0.5013226270675659
Epoch 34 D_loss -0.13594548106193544, G_loss -0.5025688409805298
Epoch 35 D_loss -0.121465665102005, G_loss -0.4985101819038391
Epoch 36 D_loss -0.12892649173736573, G_loss -0.5131364464759827
Epoch 37 D_loss -0.11886234283447265, G_loss -0.5153174996376038
Epoch 38 D_loss -0.11107591390609742, G_loss -0.5086656808853149
Epoch 39 D_loss -0.11773217916488647, G_loss -0.5030125379562378
Epoch 40 D_loss -0.08631856441497802, G_loss -0.5205999612808228
Epoch 41 D_loss -0.11239676475524903, G_loss -0.5174550414085388
Epoch 42 D_loss -0.09141390323638916, G_loss -0.5334529876708984
Epoch 43 D_loss -0.11308656334877014, G_loss -0.5025861263275146
Epoch 44 D_loss -0.11077444553375244, G_loss -0.515017569065094
Epoch 45 D_loss -0.09656504392623902, G_loss -0.5207517743110657
Epoch 46 D_loss -0.10693563222885132, G_loss -0.49968039989471436
Epoch 47 D_loss -0.09409230947494507, G_loss -0.5153015851974487
Epoch 48 D_loss -0.09995635747909545, G_loss -0.5198922753334045
Epoch 49 D_loss -0.10728211402893066, G_loss -0.5076736807823181
Epoch 50 D_loss -0.1001024067401886, G_loss -0.4941728711128235
